floor,eggs_1,eggs_2,eggs_4,eggs_6
6,4.7499999999978115,14.041999999991894,25.082999999981315,39.04200000004465
7,1.8330000000066349,10.790999999954476,28.124999999989964,47.1669999999591
8,1.5409999999937973,13.540999999950287,35.124999999969205,58.0420000000359
9,1.5839999999989196,15.916999999976422,42.16600000001014,68.99999999998573
10,1.415999999976325,18.49999999997687,51.250000000002686,83.83300000003314
11,1.4160000000318362,20.874999999975774,56.91599999996244,95.87500000007853
12,1.5839999999989196,24.2909999999541,68.70900000000013,110.87500000006578
13,1.4580000000097293,27.87499999995502,75.9580000000426,125.33400000003247
14,1.5829999999716904,31.12499999996521,86.66699999998472,143.20799999989475
15,1.7910000000287418,34.54200000002628,96.83300000001837,162.04200000002888
16,1.7500000000225668,38.874999999993776,109.45800000000672,182.3330000000345
17,1.6250000000050946,43.207999999961274,120.91699999999817,199.58300000000318
18,1.6250000000050946,47.00000000001925,134.95800000001833,222.62499999992082
19,1.6669999999829876,50.833999999999605,149.75000000000404,244.74999999990476
20,1.7909999999732307,55.708999999959374,163.2089999999975,271.45899999991843
21,1.7499999999670557,60.666000000042516,175.62500000001256,291.3749999999826
22,1.79200000000046,66.54099999997554,191.37499999999363,321.4999999999746
23,1.834000000033864,72.7079999999769,204.7500000000313,358.2089999999427
24,1.7909999999732307,78.16699999996234,224.95899999996905,375.20899999998744
25,1.916999999962421,83.16699999999511,240.87499999997374,398.2500000000444
26,1.916999999962421,89.99999999997898,256.12499999999596,436.7090000000351
27,1.957999999968596,95.54200000000401,273.75000000001705,462.0419999999958
28,1.874999999984528,102.7080000000069,295.875000000001,496.6250000000283
29,2.0419999999798932,110.87500000001027,310.2919999999898,528.1670000000238
30,1.9580000000241071,117.08400000004504,336.41699999997775,557.3749999999711
31,2.0419999999798932,122.99999999998423,353.16700000004306,628.8749999999732
32,2.1659999999701363,131.41700000002254,377.70900000000387,630.3330000000384
33,2.2500000000369447,139.5410000000208,393.7920000000039,688.4580000000584
34,2.1669999999973655,147.70799999996865,420.37500000002836,707.2499999999371
35,2.1659999999701363,155.1670000000116,443.25000000000614,978.5420000000266
36,2.333999999992731,166.6249999999758,465.2499999999726,806.0829999999575
37,2.2090000000307697,173.99999999995197,515.4159999999907,839.166999999974
38,2.2909999999876085,182.2920000000283,545.9159999999796,862.1249999999359
39,2.3330000000210127,189.5410000000153,634.6249999999998,903.9170000000319
